Review,Price,Shipping,Outlook,Quality,Size,Shop_Service,General,Others,Review_Cleaned,tokens,input_ids,attention_mask
Hàng đẹp so với giá nha .nhưng đóng gói không chất trắng,-1,-1,1,-1,-1,0,-1,-1,hàng đẹp so với giá nha .nhưng đóng gói không chất trắng,"['▁h', 'àng', '▁đ', 'ẹp', '▁so', '▁v', 'ới', '▁giá', '▁nha', '▁.', 'nh', 'ưng', '▁đó', 'ng', '▁g', 'ói', '▁kh', 'ông', '▁ch', 'ất', '▁tr', 'ắng']","[0, 13, 79, 8, 165, 714, 15, 54, 224, 87, 140, 7, 322, 136, 4, 20, 313, 25, 38, 11, 51, 26, 402, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dịch vụ khách hàng giới thiệu sản phẩm rất tốt, thông tin trả lời nhanh và chi tiết, bạn sẽ không thất vọng nếu quyết tâm mua",-1,-1,-1,-1,-1,1,-1,-1,"dịch vụ khách hàng giới thiệu sản phẩm rất tốt, thông tin trả lời nhanh và chi tiết, bạn sẽ không thất vọng nếu quyết tâm mua","['▁d', 'ịch', '▁vụ', '▁kh', 'ách', '▁h', 'àng', '▁gi', 'ới', '▁th', 'iệu', '▁s', 'ản', '▁ph', 'ẩm', '▁r', 'ất', '▁t', 'ốt', ',', '▁th', 'ông', '▁t', 'in', '▁trả', '▁l', 'ời', '▁nha', 'nh', '▁và', '▁chi', '▁t', 'iết', ',', '▁b', 'ạn', '▁sẽ', '▁kh', 'ông', '▁th', 'ất', '▁v', 'ọng', '▁n', 'ếu', '▁q', 'uy', 'ết', '▁t', 'âm', '▁mua']","[0, 22, 407, 695, 25, 391, 13, 79, 33, 54, 12, 442, 19, 169, 35, 277, 24, 51, 6, 185, 14665, 12, 38, 6, 102, 793, 10, 52, 87, 7, 62, 276, 6, 152, 14665, 14, 90, 237, 25, 38, 12, 51, 15, 382, 16, 385, 36, 43, 122, 6, 250, 183, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
giao nhanh giày đẹp êm chân nhưng from giày hơi cứng đi lâu sẽ đau chân lên đặt hơn 1 size cho thoải mái nhé,-1,1,1,1,2,-1,-1,-1,giao nhanh giày đẹp êm chân nhưng from giày hơi cứng đi lâu sẽ đau chân lên đặt hơn 1 size cho thoải mái nhé,"['▁gi', 'ao', '▁nha', 'nh', '▁gi', 'ày', '▁đ', 'ẹp', '▁êm', '▁ch', 'ân', '▁như', 'ng', '▁fr', 'om', '▁gi', 'ày', '▁h', 'ơi', '▁cứ', 'ng', '▁đi', '▁l', 'âu', '▁sẽ', '▁đ', 'au', '▁ch', 'ân', '▁l', 'ên', '▁đ', 'ặt', '▁h', 'ơn', '▁1', '▁size', '▁cho', '▁tho', 'ải', '▁m', 'ái', '▁nhé']","[0, 33, 44, 87, 7, 33, 193, 8, 165, 1526, 11, 91, 65, 4, 1623, 606, 33, 193, 13, 74, 298, 4, 48, 10, 101, 237, 8, 172, 11, 91, 10, 31, 8, 244, 13, 124, 303, 1082, 71, 535, 99, 9, 205, 228, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Ngoài ngắm cực phẩm thi đấu trong sân thì ngoài sân cũng có rất nhiều ""kèo thơm"" đến từ đội cổ vũ của các trường bạn :)",-1,-1,-1,-1,-1,-1,-1,2,ngoài ngắm cực phẩm thi đấu trong sân thì ngoài sân cũng có rất nhiều kèo thơm đến từ đội cổ vũ của các trường bạn :),"['▁ngo', 'ài', '▁ng', 'ắm', '▁c', 'ực', '▁ph', 'ẩm', '▁thi', '▁đ', 'ấu', '▁tr', 'ong', '▁s', 'ân', '▁thì', '▁ngo', 'ài', '▁s', 'ân', '▁c', 'ũng', '▁có', '▁r', 'ất', '▁nh', 'iều', '▁k', 'èo', '▁thơm', '▁đ', 'ến', '▁từ', '▁đ', 'ội', '▁cổ', '▁vũ', '▁c', 'ủa', '▁c', 'ác', '▁tr', 'ườ', 'ng', '▁b', 'ạn', '▁:)']","[0, 445, 96, 23, 178, 5, 275, 35, 277, 505, 8, 378, 26, 68, 19, 91, 61, 445, 96, 19, 91, 5, 93, 41, 24, 51, 18, 167, 17, 652, 1241, 8, 195, 255, 8, 299, 1152, 2170, 5, 98, 5, 158, 26, 196, 4, 14, 90, 621, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dài xinh nha from lên đẹp xỉu êm chân lắm nha nên mua giá lại còn hạc giấy nữa,1,-1,1,-1,-1,-1,-1,-1,dài xinh nha from lên đẹp xỉu êm chân lắm nha nên mua giá lại còn hạc giấy nữa,"['▁d', 'ài', '▁x', 'inh', '▁nha', '▁fr', 'om', '▁l', 'ên', '▁đ', 'ẹp', '▁x', 'ỉu', '▁êm', '▁ch', 'ân', '▁l', 'ắm', '▁nha', '▁n', 'ên', '▁mua', '▁giá', '▁l', 'ại', '▁c', 'òn', '▁h', 'ạc', '▁gi', 'ấy', '▁n', 'ữa']","[0, 22, 96, 34, 81, 87, 1623, 606, 10, 31, 8, 165, 34, 1527, 1526, 11, 91, 10, 178, 87, 16, 31, 183, 224, 10, 63, 5, 119, 13, 406, 33, 49, 16, 174, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Giao hàng nhanh Có Giày khá cứng, lót giày thừa khá nhiều, các lỗ luồn dây giày to nhỏ ko đều nhau Nên suy nghĩ trước khi mua nhé mng",-1,1,-1,0,-1,-1,-1,-1,"giao hàng nhanh có giày khá cứng, lót giày thừa khá nhiều, các lỗ luồn dây giày to nhỏ không đều nhau nên suy nghĩ trước khi mua nhé mọi người","['▁gi', 'ao', '▁h', 'àng', '▁nha', 'nh', '▁có', '▁gi', 'ày', '▁khá', '▁cứ', 'ng', ',', '▁l', 'ót', '▁gi', 'ày', '▁th', 'ừa', '▁khá', '▁nh', 'iều', ',', '▁c', 'ác', '▁lỗ', '▁lu', 'ồn', '▁d', 'ây', '▁gi', 'ày', '▁to', '▁nhỏ', '▁kh', 'ông', '▁đ', 'ều', '▁nh', 'au', '▁n', 'ên', '▁s', 'uy', '▁nghĩ', '▁tr', 'ước', '▁khi', '▁mua', '▁nhé', '▁m', 'ọi', '▁ng', 'ười']","[0, 33, 44, 13, 79, 87, 7, 41, 33, 193, 552, 298, 4, 14665, 10, 1357, 33, 193, 12, 320, 552, 18, 167, 14665, 5, 158, 2194, 117, 386, 22, 145, 33, 193, 270, 598, 25, 38, 8, 409, 18, 172, 16, 31, 19, 43, 430, 26, 192, 248, 183, 228, 9, 301, 23, 92, 2, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Giầy đi êm, giá cả hợp lý, đóng gói cẩn thận, giao hàng hơi lâu, màu time xinh lắm nhé!!! Nên mua mng nha",2,0,1,1,-1,1,-1,-1,"giày đi êm, giá cả hợp lý, đóng gói cẩn thận, giao hàng hơi lâu, màu time xinh lắm nhé!!! nên mua mọi người nha","['▁gi', 'ày', '▁đi', '▁êm', ',', '▁giá', '▁cả', '▁h', 'ợp', '▁lý', ',', '▁đó', 'ng', '▁g', 'ói', '▁c', 'ẩn', '▁th', 'ận', ',', '▁gi', 'ao', '▁h', 'àng', '▁h', 'ơi', '▁l', 'âu', ',', '▁màu', '▁t', 'ime', '▁x', 'inh', '▁l', 'ắm', '▁nhé', '!!!', '▁n', 'ên', '▁mua', '▁m', 'ọi', '▁ng', 'ười', '▁nha']","[0, 33, 193, 48, 1526, 14665, 224, 133, 13, 491, 710, 14665, 136, 4, 20, 313, 5, 375, 12, 138, 14665, 33, 44, 13, 79, 13, 74, 10, 101, 14665, 484, 6, 2921, 34, 81, 10, 178, 228, 2298, 16, 31, 183, 9, 301, 23, 92, 87, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Dày giá rẻ nên đừng mong đợi j nhiều, tiền nào của nấy thôi, nghe mùi nhự",-1,-1,-1,-1,-1,-1,-1,2,"dày giá rẻ nên đừng mong đợi gì nhiều, tiền nào của nấy thôi, nghe mùi nhự","['▁d', 'ày', '▁giá', '▁rẻ', '▁n', 'ên', '▁đ', 'ừng', '▁m', 'ong', '▁đ', 'ợi', '▁gì', '▁nh', 'iều', ',', '▁t', 'iền', '▁nào', '▁c', 'ủa', '▁n', 'ấy', '▁th', 'ôi', ',', '▁nghe', '▁m', 'ùi', '▁nh', 'ự']","[0, 22, 193, 224, 752, 16, 31, 8, 328, 9, 68, 8, 639, 143, 18, 167, 14665, 6, 209, 156, 5, 98, 16, 49, 12, 78, 14665, 351, 9, 511, 18, 14719, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Với phòng bệnh không đặc hiệu : Để hạn chế lây nhiễm trong cộng đồng, người bệnh phải đeo khẩu trang, cần che miệng khi hắt hơi, sổ mũi, phải khạc đờm vào chỗ quy định. Các vật dụng chứa nguồn lây cần được xử lý đúng cách. Tận dụng ánh nắng mặt trời để góp phần hạn chế vi khuẩn phát triển và phát t24",-1,-1,-1,-1,-1,-1,-1,2,"với phòng bệnh không đặc hiệu : để hạn chế lây nhiễm trong cộng đồng, người bệnh phải đeo khẩu trang, cần che miệng khi hắt hơi, sổ mũi, phải khạc đờm vào chỗ quy định. các vật dụng chứa nguồn lây cần được xử lý đúng cách. tận dụng ánh nắng mặt trời để góp phần hạn chế vi khuẩn phát triển và phát t24","['▁v', 'ới', '▁ph', 'òng', '▁b', 'ệnh', '▁kh', 'ông', '▁đ', 'ặc', '▁h', 'iệu', '▁:', '▁để', '▁h', 'ạn', '▁chế', '▁l', 'ây', '▁n', 'hi', 'ễm', '▁tr', 'ong', '▁c', 'ộng', '▁đ', 'ồng', ',', '▁ng', 'ười', '▁b', 'ệnh', '▁ph', 'ải', '▁đ', 'eo', '▁kh', 'ẩu', '▁tr', 'ang', ',', '▁c', 'ần', '▁c', 'he', '▁m', 'iệ', 'ng', '▁khi', '▁h', 'ắt', '▁h', 'ơi', ',', '▁sổ', '▁mũi', ',', '▁ph', 'ải', '▁kh', 'ạc', '▁đờ', 'm', '▁vào', '▁chỗ', '▁q', 'uy', '▁đị', 'nh', '.', '▁c', 'ác', '▁v', 'ật', '▁d', 'ụng', '▁ch', 'ứa', '▁ngu', 'ồn', '▁l', 'ây', '▁c', 'ần', '▁đ', 'ược', '▁xử', '▁lý', '▁đ', 'úng', '▁cá', 'ch', '.', '▁t', 'ận', '▁d', 'ụng', '▁á', 'nh', '▁n', 'ắng', '▁m', 'ặt', '▁tr', 'ời', '▁để', '▁g', 'óp', '▁ph', 'ần', '▁h', 'ạn', '▁chế', '▁vi', '▁k', 'hu', 'ẩn', '▁ph', 'át', '▁tr', 'iển', '▁và', '▁ph', 'át', '▁t', '24']","[0, 15, 54, 35, 295, 14, 876, 25, 38, 8, 347, 13, 442, 55, 151, 13, 90, 894, 10, 145, 16, 544, 1719, 26, 68, 5, 844, 8, 257, 14665, 23, 92, 14, 876, 35, 99, 8, 254, 25, 1095, 26, 86, 14665, 5, 76, 5, 759, 9, 64, 4, 248, 13, 274, 13, 74, 14665, 3065, 1657, 14665, 35, 99, 25, 406, 2]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Hàng rất ok,-1,-1,-1,-1,-1,-1,1,-1,hàng rất ổn,"['▁h', 'àng', '▁r', 'ất', '▁ổn']","[0, 13, 79, 24, 51, 645, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
